caller	site	target	edge_kind	confidence	evidence
80015ba0	80015bc4	8001578c	direct_ghidra	confirmed_static	calls.tsv
80015bdc	80015be4	800157d4	direct_ghidra	confirmed_static	calls.tsv
80015bdc	80015c00	8001578c	direct_ghidra	confirmed_static	calls.tsv
80015c34	80015c44	80087858	direct_ghidra	confirmed_static	calls.tsv
80015c34	80015c50	80087838	direct_ghidra	confirmed_static	calls.tsv
80015c34	80015c5c	80085558	direct_ghidra	confirmed_static	calls.tsv
80015c34	80015cbc	80087838	direct_ghidra	confirmed_static	calls.tsv
80015cd4	80015d00	80015c34	direct_ghidra	confirmed_static	calls.tsv
80015d18	80015d2c	80085558	direct_ghidra	confirmed_static	calls.tsv
80015d18	80015dec	800166a0	direct_ghidra	confirmed_static	calls.tsv
80015d18	80015df8	80087838	direct_ghidra	confirmed_static	calls.tsv
80015e10	80015f24	80088bd8	direct_ghidra	confirmed_static	calls.tsv
80015e10	80015f58	800875f8	direct_ghidra	confirmed_static	calls.tsv
80015e10	80015fbc	80085558	direct_ghidra	confirmed_static	calls.tsv
80015e10	80015fd8	80089c48	direct_ghidra	confirmed_static	calls.tsv
80015e10	80015ff4	80089c48	direct_ghidra	confirmed_static	calls.tsv
80015e10	80016010	80089c48	direct_ghidra	confirmed_static	calls.tsv
80015e10	8001602c	80089c48	direct_ghidra	confirmed_static	calls.tsv
80015e10	800160f0	80085588	direct_ghidra	confirmed_static	calls.tsv
80015e10	800160fc	80085558	direct_ghidra	confirmed_static	calls.tsv
80015e10	80016124	80087bf8	direct_ghidra	confirmed_static	calls.tsv
80015e10	80016158	80087bf8	direct_ghidra	confirmed_static	calls.tsv
80015e10	8001618c	80087bf8	direct_ghidra	confirmed_static	calls.tsv
80015e10	800161c0	80087bf8	direct_ghidra	confirmed_static	calls.tsv
80015e10	80016214	80087928	direct_ghidra	confirmed_static	calls.tsv
80015e10	80016280	80082da8	direct_ghidra	confirmed_static	calls.tsv
80015e10	800162c4	80082da8	direct_ghidra	confirmed_static	calls.tsv
80015e10	80016330	800842a8	direct_ghidra	confirmed_static	calls.tsv
80015e10	800163e0	800842a8	direct_ghidra	confirmed_static	calls.tsv
80016418	80016440	80087858	direct_ghidra	confirmed_static	calls.tsv
80016418	8001644c	80087838	direct_ghidra	confirmed_static	calls.tsv
80016418	8001645c	80087818	direct_ghidra	confirmed_static	calls.tsv
80016418	8001646c	80086798	direct_ghidra	confirmed_static	calls.tsv
80016418	80016474	8005721c	direct_ghidra	confirmed_static	calls.tsv
80016418	800165bc	80015d18	direct_ghidra	confirmed_static	calls.tsv
80016418	800165dc	80015e10	direct_ghidra	confirmed_static	calls.tsv
80016418	80016630	80015d18	direct_ghidra	confirmed_static	calls.tsv
80016418	80016650	80015e10	direct_ghidra	confirmed_static	calls.tsv
80016418	8001666c	80087838	direct_ghidra	confirmed_static	calls.tsv
800166a0	80016790	800422c0	direct_ghidra	confirmed_static	calls.tsv
800166a0	80016878	800424b8	direct_ghidra	confirmed_static	calls.tsv
800166a0	80016954	800424b8	direct_ghidra	confirmed_static	calls.tsv
800166a0	80016988	800424b8	direct_ghidra	confirmed_static	calls.tsv
800166a0	800169bc	800424b8	direct_ghidra	confirmed_static	calls.tsv
800166a0	80016a08	800424b8	direct_ghidra	confirmed_static	calls.tsv
800166a0	80016a2c	80016fe4	direct_ghidra	confirmed_static	calls.tsv
800166a0	80016a44	80035ce8	direct_ghidra	confirmed_static	calls.tsv
800166a0	80016a54	80035ce8	direct_ghidra	confirmed_static	calls.tsv
800166a0	80016a7c	800424b8	direct_ghidra	confirmed_static	calls.tsv
800166a0	80016ab4	800424b8	direct_ghidra	confirmed_static	calls.tsv
800166a0	80016b80	800424b8	direct_ghidra	confirmed_static	calls.tsv
800166a0	80016be8	800424b8	direct_ghidra	confirmed_static	calls.tsv
80016c20	80016c30	800166a0	direct_ghidra	confirmed_static	calls.tsv
80016c48	80016c78	80035ce8	direct_ghidra	confirmed_static	calls.tsv
80016c48	80016cbc	80084978	direct_ghidra	confirmed_static	calls.tsv
80016d8c	80016db4	80016cf8	direct_ghidra	confirmed_static	calls.tsv
80016d8c	80016dbc	80016cf8	direct_ghidra	confirmed_static	calls.tsv
80016d8c	80016e48	80016c48	direct_ghidra	confirmed_static	calls.tsv
80016d8c	80016e80	80016c48	direct_ghidra	confirmed_static	calls.tsv
80016d8c	80016ecc	80016c48	direct_ghidra	confirmed_static	calls.tsv
80016d8c	80016f00	80016c48	direct_ghidra	confirmed_static	calls.tsv
8001704c	8001708c	80085748	direct_ghidra	confirmed_static	calls.tsv
8001704c	800170ac	80013448	direct_ghidra	confirmed_static	calls.tsv
800170c4	800171e4	80082380	direct_ghidra	confirmed_static	calls.tsv
800170c4	80017240	80082380	direct_ghidra	confirmed_static	calls.tsv
800170c4	80017314	80082380	direct_ghidra	confirmed_static	calls.tsv
80017500	80017508	8005622c	direct_ghidra	confirmed_static	calls.tsv
80017500	80017510	80056540	direct_ghidra	confirmed_static	calls.tsv
80017500	8001752c	800593c8	direct_ghidra	confirmed_static	calls.tsv
80017860	8001786c	8001704c	direct_ghidra	confirmed_static	calls.tsv
80017860	80017880	80087858	direct_ghidra	confirmed_static	calls.tsv
80017860	8001788c	80087838	direct_ghidra	confirmed_static	calls.tsv
80017860	800178a8	80013448	direct_ghidra	confirmed_static	calls.tsv
80017860	800178b4	80085558	direct_ghidra	confirmed_static	calls.tsv
80017860	8001790c	80087838	direct_ghidra	confirmed_static	calls.tsv
80017860	80017914	8001704c	direct_ghidra	confirmed_static	calls.tsv
80017930	8001796c	80014d38	direct_ghidra	confirmed_static	calls.tsv
80017930	80017974	80013700	direct_ghidra	confirmed_static	calls.tsv
8001798c	8001799c	80047acc	direct_ghidra	confirmed_static	calls.tsv
8001798c	800179a4	80047f60	direct_ghidra	confirmed_static	calls.tsv
8001798c	800179ac	80012c88	direct_ghidra	confirmed_static	calls.tsv
8001798c	800179b4	80013700	direct_ghidra	confirmed_static	calls.tsv
8001798c	800179f0	80014d38	direct_ghidra	confirmed_static	calls.tsv
8001798c	800179f8	80013700	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017a74	80014d38	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017a84	80017730	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017a8c	800176ac	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017a94	80017544	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017ac4	80017860	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017adc	80013448	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017ae4	80017674	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017aec	8002c76c	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017af4	8002970c	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017b14	8002970c	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017b34	80035b68	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017b3c	80017500	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017b44	80013700	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017b70	80040350	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017b7c	800403d0	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017bb4	80040800	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017bbc	80042c48	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017be0	80040350	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017bec	800403d0	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017c18	80040800	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017c20	80042c48	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017c5c	80040350	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017c68	800403d0	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017c74	80042c48	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017c80	80042c1c	direct_ghidra	confirmed_static	calls.tsv
8001798c	80017d24	8002465c	direct_ghidra	confirmed_static	calls.tsv
80017e94	80017eb4	80040350	direct_ghidra	confirmed_static	calls.tsv
80017e94	80017ec0	800403d0	direct_ghidra	confirmed_static	calls.tsv
80017e94	80017f50	80042c48	direct_ghidra	confirmed_static	calls.tsv
80017e94	80017f64	80017dcc	direct_ghidra	confirmed_static	calls.tsv
80017e94	80017f6c	80017d44	direct_ghidra	confirmed_static	calls.tsv
80017f94	80017fa0	80017e94	direct_ghidra	confirmed_static	calls.tsv
80018010	800180ac	80017d44	direct_ghidra	confirmed_static	calls.tsv
