global	function	access
DAT_1F8002D0	800421ac	read
DAT_1F8002D0	800422c0	read_write
DAT_1F8002D4	80015e10	write
DAT_1F8002D4	800422c0	read_write
DAT_1F8002D6	800422c0	read_write
DAT_1F8002D8	80015e10	read_write
DAT_1F8002DA	800422c0	read_write
DAT_1F8002DC	80015e10	write
DAT_1F8002DC	800422c0	read_write
DAT_1F8002E0	800422c0	read_write
DAT_1F8002E0	800424b8	read
DAT_1F8002E4	800421ac	write
DAT_1F8002E4	800422c0	write
DAT_1F8002E4	800424b8	read
DAT_1F8002E8	800421ac	write
DAT_1F8002E8	800422c0	write
DAT_1F8002E8	800424b8	read
DAT_1F8002EC	800421ac	write
DAT_1F8002EC	800422c0	write
DAT_1F800300	80015e10	read_write
DAT_1F800300	8002ab50	read_write
DAT_1F800300	800424b8	read_write
DAT_1F800302	80015e10	write
DAT_1F800302	8002ab50	read_write
DAT_1F800302	800424b8	read_write
DAT_1F800304	80015e10	write
DAT_1F800304	8002ab50	write
DAT_1F800304	800424b8	write
DAT_1F800308	80015e10	read_write
DAT_1F800308	8002ab50	read_write
DAT_1F800308	800421ac	read_write
DAT_1F800308	800422c0	read_write
DAT_1F800308	800424b8	read_write
DAT_1F80030A	80015e10	write
DAT_1F80030A	8002ab50	write
DAT_1F80030A	800421ac	write
DAT_1F80030A	800424b8	write
DAT_1F80030C	80015e10	write
DAT_1F80030C	8002ab50	write
DAT_1F80030C	800421ac	write
DAT_1F80030C	800422c0	read_write
DAT_1F80030C	800424b8	write
DAT_1F800310	80015e10	read_write
DAT_1F800310	8002ab50	read_write
DAT_1F800310	800421ac	read_write
DAT_1F800310	800422c0	read_write
DAT_1F800310	800424b8	read_write
DAT_1F800312	80015e10	write
DAT_1F800312	8002ab50	read_write
DAT_1F800312	800421ac	write
DAT_1F800312	800424b8	read_write
DAT_1F800314	80015e10	write
DAT_1F800314	8002ab50	write
DAT_1F800314	800421ac	write
DAT_1F800314	800422c0	write
DAT_1F800314	800424b8	write
DAT_1F800318	80015e10	read_write
DAT_1F800318	8002ab50	read_write
DAT_1F800318	800421ac	read_write
DAT_1F800318	800422c0	read_write
DAT_1F800318	800424b8	read_write
DAT_1F80031A	80015e10	write
DAT_1F80031A	8002ab50	write
DAT_1F80031A	800421ac	write
DAT_1F80031A	800422c0	write
DAT_1F80031A	800424b8	write
DAT_1F80031C	80015e10	write
DAT_1F80031C	8002ab50	write
DAT_1F80031C	800421ac	write
DAT_1F80031C	800422c0	write
DAT_1F80031C	800424b8	write
DAT_1F800320	80015e10	read_write
DAT_1F800320	800166a0	read_write
DAT_1F800320	80016d8c	read_write
DAT_1F800320	80028c0c	read_write
DAT_1F800320	800408bc	read_write
DAT_1F800320	80040c04	read_write
DAT_1F800320	800418c0	read_write
DAT_1F800320	8006ab9c	read_write
DAT_1F800324	80015e10	write
DAT_1F800324	800166a0	read_write
DAT_1F800324	80016d8c	write
DAT_1F800324	80028c0c	read_write
DAT_1F800324	800408bc	read_write
DAT_1F800324	80040c04	read_write
DAT_1F800324	800418c0	read_write
DAT_1F800324	8006ab9c	read_write
DAT_1F800326	800166a0	read_write
DAT_1F800326	80016d8c	write
DAT_1F800326	80028c0c	write
DAT_1F800326	800408bc	read_write
DAT_1F800326	80040c04	read_write
DAT_1F800326	800418c0	read_write
DAT_1F800326	8006ab9c	read_write
DAT_1F800328	80015e10	write
DAT_1F800328	800166a0	read_write
DAT_1F800328	80016d8c	write
DAT_1F800328	80028c0c	write
DAT_1F800328	800408bc	write
DAT_1F800328	80040c04	read_write
DAT_1F800328	800418c0	read_write
DAT_1F800328	8006ab9c	write
DAT_1F80032A	80040c04	write
DAT_1F80032A	800418c0	read_write
DAT_1F80032C	800166a0	write
DAT_1F80032C	80016d8c	write
DAT_1F80032C	80028c0c	write
DAT_1F80032C	800408bc	write
DAT_1F80032C	80040c04	read_write
DAT_1F80032C	800418c0	read_write
DAT_1F80032C	8006ab9c	write
DAT_1F80032E	800166a0	read_write
DAT_1F80032E	80016d8c	write
DAT_1F80032E	80028c0c	read_write
DAT_1F80032E	800408bc	write
DAT_1F80032E	80040c04	read_write
DAT_1F80032E	800418c0	read_write
DAT_1F80032E	8006ab9c	write
DAT_1F80032F	800166a0	read_write
DAT_1F80032F	80028c0c	read_write
DAT_1F80032F	80040c04	read
DAT_1F80032F	800418c0	read_write
DAT_1F80032F	8006ab9c	write
DAT_1F800330	800166a0	read_write
DAT_1F800330	80016d8c	write
DAT_1F800330	80028c0c	read_write
DAT_1F800330	800408bc	write
DAT_1F800330	80040c04	write
DAT_1F800330	800418c0	write
DAT_1F800330	8006ab9c	write
DAT_1F800332	800166a0	read
DAT_1F800332	80028c0c	read_write
DAT_1F800332	800418c0	write
DAT_1F800332	8006ab9c	write
DAT_1F800334	800166a0	write
DAT_1F800334	80016d8c	write
DAT_1F800334	80028c0c	read_write
DAT_1F800334	800408bc	read_write
DAT_1F800334	80040c04	read_write
DAT_1F800334	800418c0	read_write
