address	name	body_bytes	status	origin	region
80039c6c	FUN_80039c6c	208	ok	resident_export	resident
80039d3c	FUN_80039d3c	488	ok	resident_export	resident
80039f24	FUN_80039f24	96	ok	resident_export	resident
80039f84	FUN_80039f84	116	ok	resident_export	resident
80039ff8	FUN_80039ff8	144	ok	resident_export	resident
8003a088	FUN_8003a088	32	ok	resident_export	resident
8003a0a8	FUN_8003a0a8	36	ok	resident_export	resident
8003a0cc	FUN_8003a0cc	352	ok	resident_export	resident
8003a22c	FUN_8003a22c	128	ok	resident_export	resident
8003a2ac	FUN_8003a2ac	40	ok	resident_export	resident
8003a2d4	FUN_8003a2d4	76	ok	resident_export	resident
8003a320	FUN_8003a320	68	ok	resident_export	resident
8003a364	FUN_8003a364	36	ok	resident_export	resident
8003a3ac	FUN_8003a3ac	380	ok	resident_export	resident
8003a528	FUN_8003a528	84	ok	resident_export	resident
8003a57c	FUN_8003a57c	596	ok	resident_export	resident
8003a7d0	FUN_8003a7d0	288	ok	resident_export	resident
8003a8f0	FUN_8003a8f0	960	ok	resident_export	resident
8003acb0	FUN_8003acb0	60	ok	resident_export	resident
8003acec	FUN_8003acec	52	ok	resident_export	resident
8003ad20	FUN_8003ad20	340	ok	resident_export	resident
8003ae74	FUN_8003ae74	356	ok	resident_export	resident
8003afd8	FUN_8003afd8	292	ok	resident_export	resident
8003b0fc	FUN_8003b0fc	744	ok	resident_export	resident
8003b3e4	FUN_8003b3e4	804	ok	resident_export	resident
8003b708	FUN_8003b708	404	ok	resident_export	resident
8003b89c	FUN_8003b89c	188	ok	resident_export	resident
8003b990	FUN_8003b990	116	ok	resident_export	resident
8003ba04	FUN_8003ba04	32	ok	resident_export	resident
8003ba24	FUN_8003ba24	16	ok	resident_export	resident
8003baf4	FUN_8003baf4	448	ok	resident_export	resident
8003bcb4	FUN_8003bcb4	88	ok	resident_export	resident
8003bd0c	FUN_8003bd0c	488	ok	resident_export	resident
8003bef4	FUN_8003bef4	72	ok	resident_export	resident
8003bf3c	FUN_8003bf3c	212	ok	resident_export	resident
8003c010	FUN_8003c010	424	ok	resident_export	resident
8003c1b8	FUN_8003c1b8	72	ok	resident_export	resident
8003c200	FUN_8003c200	452	ok	resident_export	resident
8003c3c4	FUN_8003c3c4	96	ok	resident_export	resident
8003c424	FUN_8003c424	416	ok	resident_export	resident
8003c5c4	FUN_8003c5c4	424	ok	resident_export	resident
8003c76c	FUN_8003c76c	416	ok	resident_export	resident
8003c90c	FUN_8003c90c	96	ok	resident_export	resident
8003c96c	FUN_8003c96c	372	ok	resident_export	resident
8003cae0	FUN_8003cae0	100	ok	resident_export	resident
8003cb44	FUN_8003cb44	276	ok	resident_export	resident
8003cc58	FUN_8003cc58	288	ok	resident_export	resident
8003cd78	FUN_8003cd78	108	ok	resident_export	resident
8003cde4	FUN_8003cde4	80	ok	resident_export	resident
8003ce34	FUN_8003ce34	112	ok	resident_export	resident
8003cea4	FUN_8003cea4	288	ok	resident_export	resident
8003cfc4	FUN_8003cfc4	80	ok	resident_export	resident
8003d014	FUN_8003d014	44	ok	resident_export	resident
8003d040	FUN_8003d040	68	ok	resident_export	resident
8003d084	FUN_8003d084	92	ok	resident_export	resident
8003d0e0	FUN_8003d0e0	180	ok	resident_export	resident
8003d194	FUN_8003d194	116	ok	resident_export	resident
8003d208	FUN_8003d208	184	ok	resident_export	resident
8003d2c0	FUN_8003d2c0	128	ok	resident_export	resident
8003d340	FUN_8003d340	276	ok	resident_export	resident
8003d454	FUN_8003d454	48	ok	resident_export	resident
8003d484	FUN_8003d484	72	ok	resident_export	resident
8003d500	FUN_8003d500	312	ok	resident_export	resident
8003d638	FUN_8003d638	172	ok	resident_export	resident
8003dde0	FUN_8003dde0	2016	ok	resident_export	resident
8003e5c0	FUN_8003e5c0	36	ok	resident_export	resident
8003e5e4	FUN_8003e5e4	836	ok	resident_export	resident
8003e9a8	FUN_8003e9a8	1980	ok	resident_export	resident
8003f5c4	FUN_8003f5c4	216	ok	resident_export	resident
8003f69c	FUN_8003f69c	204	ok	resident_export	resident
8003f768	FUN_8003f768	712	ok	resident_export	resident
8003fa30	FUN_8003fa30	52	ok	resident_export	resident
8003fa64	FUN_8003fa64	24	ok	resident_export	resident
8003fa7c	FUN_8003fa7c	124	ok	resident_export	resident
8003faf8	FUN_8003faf8	60	ok	resident_export	resident
8003fb34	FUN_8003fb34	108	ok	resident_export	resident
